review_n,citekey,authors,year,title,doi,url,site,fulltext,fulltext_source,r2,nse,kge,pbias,rmse,mae,other_metrics,metric_excerpt,vpr_variable,vpr_variable_excerpt,vpr_location,vpr_location_excerpt,control_rule,control_rule_excerpt,open_inputs_or_code,open_excerpt,cal_val_split,cal_val_excerpt,vpr_reconstruct,vpr_reconstruct_reason,in_table2,table2_r2,table2_params,table2_r2_is_w2_obs_sim_skill,notes
41,dehbalaei_javan_2018,"Dehbalaei, F.N.; Javan, M.",2018,Assessment of Selective Withdrawal and Inflow Control on the Hydrodynamics and Water Quality of Ilam Reservoir,10.2175/106143017X15131012152834,https://doi.org/10.2175/106143017X15131012152834,"Ilam Reservoir, Iran",false,Wiley abstract,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Abstract: after calibrating and verifying, scenarios of selective withdrawal and inflow control. Numeric GOF not in abstract. Review: cal Jul-Dec 2009, val Mar-May 2010.",partial,"NH4, NO3, PO4, DO, Si, Chl-a (Table 1).",unknown,"16 segs 500-700 m, 1 m layers (Table 1).",described,Selective withdrawal elevation from surface to bottom; combination with nutrient-load reduction. Best scenario: withdrawal from bottom and surface plus load reduction. Not TDG.,false,Closed.,yes,Review: cal Jul-Dec 2009; val Mar-May 2010.,unknown,Control-rule well described at abstract level; VPR I/K/file unknown.,false,,,NA,Strongest selective-withdrawal paper after [36] for control-rule coding.
42,yazdi_moridi_2017,"Yazdi, J.; Moridi, A.",2017,Interactive Reservoir-Watershed Modeling Framework for Integrated Water Quality Management,10.1007/s11269-017-1627-4,https://doi.org/10.1007/s11269-017-1627-4,"Seimare river basin and reservoir, Iran",false,review §3.6,unknown,unknown,unknown,unknown,unknown,unknown,review quotes R (correlation) 0.62-0.95,"Review §3.6: W2 calibrated for T, DO, TDS, TN, TP with correlation values (R) 0.62-0.95. Table 2 lists this as R2 0.62-0.95. Original not verified.",partial,"T, DO, TDS, NO3, TN, TP (Table 1).",unknown,Table 1 segments Uninformed.,NA,Watershed-reservoir management framework; not TDG.,false,Closed.,unknown,"Review: calibrated in this study, 2011-2013.",no,No FT; R range without I/K/file.,true,0.62-0.95,"DO, Temperature, TDS, TN, TP",unknown,Review calls it R then Table 2 calls it R2. Same R-vs-R2 issue as [21].
43,shourian_etal_2016,"Shourian, M.; Moridi, A.; Kaveh, M.",2016,Modeling of eutrophication and strategies for improvement of water quality in reservoirs,10.2166/wst.2016.322,https://doi.org/10.2166/wst.2016.322,"Ilam Reservoir, Iran",false,IWA abstract,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Abstract: thermal/qualitative stratification; nutrient-reduction and outlet-release scenarios. No numeric GOF. Review: cal and val in this study, 2006-2008.",partial,"TN, TP, Chl-a, DO (Table 1).",unknown,"16 sectors 500-700 m, 43 layers x 1 m.",described,Water depletions from reservoir outlets (Sep-Nov release) plus 50% N/P load reduction. Not TDG.,false,Closed.,yes,Review: calibrated and validated in this study.,unknown,No FT.,false,,,NA,Outlet-release management; related Ilam papers [29][41].
44,masoumi_etal_2016,"Masoumi, F.; Afshar, A.; Palatkaleh, S.T.",2016,Selective withdrawal optimization in river-reservoir systems; trade-offs between maximum allowable receiving waste load and water quality criteria enhancement,10.1007/s10661-016-5386-0,https://doi.org/10.1007/s10661-016-5386-0,"Karkheh Reservoir, Iran",false,review Table 1,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Review: calibration using method of Afshar et al. 2013 (MOPSO). 180 months. GOF not retrieved.,partial,TP (Table 1).,unknown,"River 14 segs; reservoir 28 segs, 5 vertical layers (Table 1).",described,Selective withdrawal optimization; waste-load vs WQ trade-off. PSO+ANN+W2.,false,Closed.,inherited,Uses method presented by Afshar et al. 2013 [59].,unknown,No FT.,false,,,NA,Karkheh selective-withdrawal cluster with [22][45][49][52].
45,noori_etal_2015,"Noori, R.; Yeh, H.D.; Ashrafi, K.; Rezazadeh, N.; Bateni, S.M.; Karbassi, A.; Kachoosangi, F.T.; Moazami, S.",2015,A reduced-order based CE-QUAL-W2 model for simulation of nitrate concentration in dam reservoirs,10.1016/j.jhydrol.2015.10.022,https://doi.org/10.1016/j.jhydrol.2015.10.022,"Karkheh Reservoir, Iran",false,review Table 1,unknown,unknown,unknown,unknown,unknown,unknown,unknown; POD/ROM vs W2,"Review: cal May 2005-Apr 2006, val May-Aug 2006 for T and NO3. GOF not retrieved. Reduced-order (POD) of W2 nitrate field.",partial,Water temperature and NO3 (Table 1).,unknown,"65 segs x 1000 m, 2 m layers (Table 1).",NA,"ROM condensation of W2 output, not operations/TDG.",false,Closed.,yes,Review: cal 05/2005-04/2006; val 05/2006-08/2006.,unknown,No FT. Extra VPR issue: ROM modes vs original W2 field.,false,,,NA,VPR would need both W2 output and POD reconstruction chain.
46,park_etal_2015,"Park, Y.; Pachepsky, Y.A.; Cho, K.H.; Jeon, D.J.; Kim, J.H.",2015,Stressor-response modeling using the 2D water quality model and regression trees to predict chlorophyll-a in a reservoir system,10.1016/j.jhydrol.2015.09.002,https://doi.org/10.1016/j.jhydrol.2015.09.002,"Yeongsan Reservoir, South Korea",false,"review Table 1; OpenAlex green OA, no PDF URL",unknown,unknown,unknown,unknown,unknown,unknown,unknown; regression trees on W2 output,Review: model previously calibrated by Park et al. 2014 [47]. This paper is stressor-response / Chl-a trees. GOF of W2 not restated in snippets.,unknown,"Table 1: TDS, SS, PO4, NH4, NO3, BOD, algal biomass, DO, COD.",unknown,Table 1 segments blank.,NA,"Statistical stressor-response, not controller.",unknown,Green OA flagged; PDF not found.,inherited,Previously calibrated by [47].,no,Uses prior W2; this paper does not restate VPR.,false,,,NA,Child of [47].
47,park_etal_2014,"Park, Y.; Cho, K.H.; Kang, J.H.; Lee, S.W.; Kim, J.H.",2014,Developing a flow control strategy to reduce nutrient load in a reclaimed multi-reservoir system using a 2D hydrodynamic and water quality model,10.1016/j.scitotenv.2013.07.041,https://doi.org/10.1016/j.scitotenv.2013.07.041,"Yeongsan, Yeongam and Kumho reservoirs, South Korea",false,institutional abstracts (GIST/UNIST/Dongguk),unknown,unknown,unknown,unknown,unknown,unknown,sensitivity analysis + pattern-search auto-cal; scenario % load reduction,"Abstract: sensitivity analysis then pattern search to optimize parameters. Scenario: TN load -27.2%, TP -6.6% under optimal channel flow. Obs-sim GOF numbers not in abstracts.",partial,Many WQ vars in Table 1. File unknown.,partial,"Detailed grid: YSR 2 branches 39 segs 700-800 m, 23 layers; YAR 45 segs 26 layers; KMR 56 segs 24 layers. Comparison stations not in abstract.",described,Flow control / interconnecting-channel operation to cut nutrient export. Not TDG.,false,Closed.,unknown,Calibrated with two new methods; 2007-2008. Validation split not in abstract.,unknown,Grid rich; pairing I/K/file unknown without FT.,false,,,NA,Parent model for [46]. Flow-control confounding relevant to innovation 2.
48,chang_etal_2015,"Chang, C.H.; Cai, L.Y.; Lin, T.F.; Chung, C.L.; Van Der Linden, L.; Burch, M.",2015,Assessment of the Impacts of Climate Change on the Water Quality of a Small Deep Reservoir in a Humid-Subtropical Climatic Region,10.3390/w7041687,https://doi.org/10.3390/w7041687,"Hsin Shan Reservoir, Taiwan",true,MDPI HTML (WebSearch),true,false,false,false,true,true,AME; Pearson r; mean prediction error; CDF risk,"Cal 2004-2008 / val 2009-2012 at Station 1. Metrics AME, RMSE, R2 (Table 3) for WL, surface T, and WQ. Hydrodynamic R2 high (review quotes R=0.98 for WL and surface T). WQ R2 0.3-0.5; DO R2=0.49 and NH3-N R2=0.51 in review §3.2. NSE/KGE/PBIAS not used. Not in Table 2 despite being the review's own calibration-variability example.",partial,"WL, surface T, T profiles, DO, Chl-a, PO4, NH3-N, NO3-N, TP. Samples 0.5-1 m below surface. Output file/column not named.",yes,"Station 1 (EPA/TWC). Hydrodynamic and WQ GOF plotted at surface layer of segment 3 (Figures 4, 6, 7). Grid: 11 segs 80-220 m, 25-38 layers x 1 m. Bottom-layer TP used in CDF example.",NA,Climate A1B/A2; recharge/outflow patterns held constant. Not TDG/selective-withdrawal controller.,false,No input deck. EPA/TWC data cited.,yes,Cal 2004-2008; verify 2009-2012. Explicit in methods and Table 3.,yes,"I=3, surface layer, Station 1, 0.5-1 m samples, constituents listed, cal/val years. Remaining gaps: output file name, pairing tolerance, exact K index vs 'surface'.",false,,,NA,Best VPR-location reporting among 38. Review uses its R2 in §3.2 but leaves it out of Table 2.
49,afshar_etal_2012,"Afshar, A.; Saadatpour, M.; Marino, M.A.",2012,Development of a Complex System Dynamic Eutrophication Model: Application to Karkheh Reservoir,10.1089/ees.2010.0203,https://doi.org/10.1089/ees.2010.0203,"Karkheh Reservoir, Iran",false,review Table 1,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Review lists Model Used as 'S.D. CE-QUAL-W2' and 'series of 30 DEs for 10 variables and three segmented layers'. This appears to be a system-dynamics eutrophication model informed by / compared with W2, not a standard W2 application. GOF not retrieved.",unknown,"Phytoplankton, zooplankton, POM, DOM, NH4, N, P, TSS, DO (Table 1).",unknown,"Three segmented layers (Table 1) — SD spatialization, not W2 I/K.",NA,"SD eutrophication patterns, not TDG.",false,Closed.,yes,"Review: cal 2005-2006, val 2003-2004 (note val precedes cal chronologically).",no,Likely not a native W2 output VPR problem; different model architecture.,false,,,NA,Inclusion in the 38 is as a W2-related eutrophication study; VPR for W2 files may be N/A if SD is the reported model.
50,lee_etal_2010,"Lee, J.Y.; Ha, S.R.; Park, I.H.; Lee, S.C.; Cho, J.H.",2010,Characteristics of DOC concentration with storm density flows in a stratified dam reservoir,10.2166/wst.2010.537,https://doi.org/10.2166/wst.2010.537,"Daecheong Reservoir, South Korea",false,Crossref abstract,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Abstract: W2 2001-2005; gradual POC accumulation; turbidity-NOM related in upper region. Review: cal/val using 2003 and 2005. No GOF numbers in abstract.,partial,"LPOC, RPOC, LDOC, RDOC, DO, BOD, COD, TSS, TP, TN, pH (Table 1). Organic carbon fractions named.",partial,"Abstract: upper region of reservoir, flow distance. Table 1 segments Uninformed.",NA,"Storm density flows / allochthonous OM, not controller.",false,Closed.,yes,Review: calibrated and validated using 2003 and 2005.,unknown,Carbon fractions named; I/K/file unknown.,false,,,NA,"LPOC/RPOC/LDOC/RDOC are W2 state names — closer than most to variable identity, still no file."
51,liu_etal_2009,"Liu, W.C.; Chen, W.B.; Kimura, N.",2009,Impact of phosphorus load reduction on water quality in a stratified reservoir-eutrophication modeling study,10.1007/s10661-008-0637-3,https://doi.org/10.1007/s10661-008-0637-3,"Mingder Reservoir, Taiwan",false,EPA HERO abstract + review,true,unknown,unknown,unknown,unknown,unknown,unknown,"HERO abstract: WSE time series reproduced; T spatial/temporal well reproduced; nutrients/DO/algae 'matched closely'. No numeric GOF. Review Table 2 R2=0.977 is 'nonlinear relationship between phosphorus load reduction and total phosphorus concentration' (scenario response), not obs-sim skill.",partial,"T, DO, Chl-a, TP, NH4, NO3/NO2 (Table 1).",unknown,"22 segs x 200 m, 1 m layers, 278 cells (Table 1).",NA,"P-load reduction scenarios, not controller.",false,Closed.,unknown,Review: calibrated 2003-2004. Validation not stated.,no,No I/K/file; Table 2 R2 is scenario regression.,true,0.977,Total Phosphorus (TP),false,"Table 2 highest R2 is a load-reduction response curve, not calibration skill."
52,afshar_saadatpour_2009,"Afshar, A.; Saadatpour, M.",2009,"Reservoir Eutrophication Modeling, Sensitivity Analysis, and Assessment: Application to Karkheh Reservoir, Iran",10.1089/ees.2008.0319,https://doi.org/10.1089/ees.2008.0319,"Karkheh Reservoir, Iran",false,publisher abstract,unknown,unknown,unknown,unknown,unknown,unknown,unknown; sensitivity analysis of eutrophication parameters,Abstract: calibrated and validated; 'satisfactory convergence to observed field data through a 64-km long reservoir'. No numeric GOF.,partial,"Table 1: T, TP, NO3, NH3, Cl, DO; simulated COD, POD, SD, SS, BOD, pH, algae.",unknown,"66 segs x 1 km, up to 55 layers (Table 1). 'Check points on monitoring days' mentioned in related PSO paper, not here.",NA,Load management scenarios; P limiting. Not TDG.,false,Closed.,yes,"Review: cal May-Dec 2005, val Dec 2005-Jul 2006.",unknown,No FT; Karkheh parent model for later papers.,false,,,NA,Foundational Karkheh W2 application in this set.
53,kuo_etal_2006,"Kuo, J.T.; Lung, W.S.; Yang, C.P.; Liu, W.C.; Yang, M.D.; Tang, T.S.",2006,Eutrophication modelling of reservoirs in Taiwan,10.1016/j.envsoft.2005.03.006,https://doi.org/10.1016/j.envsoft.2005.03.006,"Te-Chi and Tseng-Wen reservoirs, Taiwan",false,KipHub abstract + review + secondary MAE/RMSE citation,true,unknown,unknown,unknown,true,true,unknown,"Abstract: T well reproduced; nutrients/DO/algae matched closely; vertical T and DO stratification in Tseng-Wen mimicked. Review Table 2 R2=0.9605 and 0.9724 are TP reduction in 1998/1999 loads (scenario), not obs-sim. Secondary source quotes MAE/RMSE DO Te-Chi 3.1/4.0 and Tseng-Wen 0.95/1.18 mg/L (unverified vs original tables).",partial,"T, DO, Chl-a, TP, NH4, NO3/NO2 (Table 1). Vertical profiles implied.",partial,"Te-Chi 15 segs 900-1080 m, 2 m layers; Tseng-Wen 17 segs x 1000 m, 2 m layers. Station I unknown.",NA,"Nutrient-reduction scenarios, not controller.",false,Closed.,unknown,"Review: calibrated in this study, 1998-2000. Verification split not in abstract.",partial,Vertical T/DO profiles claimed; I/K/file not available without FT.,true,0.9605 and 0.9724,"TP, Ammonia, NO2/NO3, Chlorophyll-a, DO",false,Table 2 params list many WQ variables but the R2 values are P-load-reduction correlations per review §3.7.
54,kuo_etal_2003,"Kuo, J.T.; Liu, W.C.; Lin, R.T.; Lung, W.S.; Yang, M.D.; Yang, C.P.; Chu, S.C.",2003,Water Quality Modeling for the Feitsui Reservoir in Northern Taiwan,10.1111/j.1752-1688.2003.tb03684.x,https://doi.org/10.1111/j.1752-1688.2003.tb03684.x,"Feitsui Reservoir, Taiwan",false,Crossref abstract,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Abstract: 2-D laterally averaged finite-difference hydrodynamic and WQ model calibrated and verified with 1996 and 1997 data; used for Chl-a under wasteload reduction. GOF numbers not in abstract. Review: cal and verified 1996 and 1997.,partial,"T, DO, Chl-a, TP, NH4, NO3/NO2 (Table 1).",unknown,"33 segs x 600 m, 26 layers x 4 m (Table 1).",NA,Wasteload reduction to oligotrophy; not controller.,false,Closed.,yes,Calibrated and verified using 1996 and 1997 (year-split implied).,unknown,No FT; classic W2 application without quoted VPR.,false,,,NA,Earliest of the 38 (2003).
